Formatted Date;Summary;Precip Type;Temperature (C);Apparent Temperature (C);Humidity;Wind Speed (km/h);Wind Bearing (degrees);Visibility (km);Loud Cover;Pressure (millibars);Daily Summary
2006-04-01 00:00:00+02:00;Partly Cloudy;rain;9.472;7.389;0.89;14.1197;251.0;15.826300000000002;0.0;1015.13;Partly cloudy throughout the day.
2006-04-01 01:00:00+02:00;Partly Cloudy;rain;9.356;7.228;0.86;14.2646;259.0;15.826300000000002;0.0;1015.63;Partly cloudy throughout the day.
2006-04-01 02:00:00+02:00;Mostly Cloudy;rain;9.378;9.378;0.89;3.9284;204.0;14.9569;0.0;1015.94;Partly cloudy throughout the day.
2006-04-01 03:00:00+02:00;Partly Cloudy;rain;8.289;5.944;0.83;14.1036;269.0;15.826300000000002;0.0;1016.41;Partly cloudy throughout the day.
2006-04-01 04:00:00+02:00;Mostly Cloudy;rain;8.756;6.978;0.83;11.0446;259.0;15.826300000000002;0.0;1016.51;Partly cloudy throughout the day.
2006-04-01 05:00:00+02:00;Partly Cloudy;rain;9.222;7.111;0.85;13.9587;258.0;14.9569;0.0;1016.66;Partly cloudy throughout the day.
2006-04-01 06:00:00+02:00;Partly Cloudy;rain;7.733;5.522;0.95;12.3648;259.0;9.982;0.0;1016.72;Partly cloudy throughout the day.
2006-04-01 07:00:00+02:00;Partly Cloudy;rain;8.772;6.528;0.89;14.1519;260.0;9.982;0.0;1016.84;Partly cloudy throughout the day.
2006-04-01 08:00:00+02:00;Partly Cloudy;rain;10.822;10.822;0.82;11.3183;259.0;9.982;0.0;1017.37;Partly cloudy throughout the day.
2006-04-01 09:00:00+02:00;Partly Cloudy;rain;13.772;13.772;0.72;12.525800000000002;279.0;9.982;0.0;1017.22;Partly cloudy throughout the day.
2006-04-01 10:00:00+02:00;Partly Cloudy;rain;16.017;16.017;0.67;17.5651;290.0;11.2056;0.0;1017.42;Partly cloudy throughout the day.
2006-04-01 11:00:00+02:00;Partly Cloudy;rain;17.144;17.144;0.54;19.7869;316.0;11.4471;0.0;1017.74;Partly cloudy throughout the day.
2006-04-01 12:00:00+02:00;Partly Cloudy;rain;17.8;17.8;0.55;21.9443;281.0;11.27;0.0;1017.59;Partly cloudy throughout the day.
2006-04-01 13:00:00+02:00;Partly Cloudy;rain;17.333;17.333;0.51;20.6885;289.0;11.27;0.0;1017.48;Partly cloudy throughout the day.
2006-04-01 14:00:00+02:00;Partly Cloudy;rain;18.878;18.878;0.47;15.375500000000002;262.0;11.4471;0.0;1017.17;Partly cloudy throughout the day.
2006-04-01 15:00:00+02:00;Partly Cloudy;rain;18.911;18.911;0.46;10.4006;288.0;11.27;0.0;1016.47;Partly cloudy throughout the day.
2006-04-01 16:00:00+02:00;Partly Cloudy;rain;15.389;15.389;0.6;14.4095;251.0;11.27;0.0;1016.15;Partly cloudy throughout the day.
2006-04-01 17:00:00+02:00;Mostly Cloudy;rain;15.55;15.55;0.63;11.1573;230.0;11.4471;0.0;1016.17;Partly cloudy throughout the day.
2006-04-01 18:00:00+02:00;Mostly Cloudy;rain;14.256;14.256;0.69;8.5169;163.0;11.2056;0.0;1015.82;Partly cloudy throughout the day.
2006-04-01 19:00:00+02:00;Mostly Cloudy;rain;13.144;13.144;0.7;7.631400000000001;139.0;11.2056;0.0;1015.83;Partly cloudy throughout the day.
2006-04-01 20:00:00+02:00;Mostly Cloudy;rain;11.55;11.55;0.77;7.3899;147.0;11.0285;0.0;1015.85;Partly cloudy throughout the day.
2006-04-01 21:00:00+02:00;Mostly Cloudy;rain;11.183;11.183;0.76;4.9266000000000005;160.0;9.982;0.0;1015.77;Partly cloudy throughout the day.
2006-04-01 22:00:00+02:00;Partly Cloudy;rain;10.117;10.117;0.79;6.6493;163.0;15.826300000000002;0.0;1015.4;Partly cloudy throughout the day.
2006-04-01 23:00:00+02:00;Mostly Cloudy;rain;10.2;10.2;0.77;3.9284;152.0;14.9569;0.0;1015.51;Partly cloudy throughout the day.
2006-04-10 00:00:00+02:00;Partly Cloudy;rain;10.422;10.422;0.62;16.985500000000002;150.0;15.826300000000002;0.0;1014.4;Mostly cloudy throughout the day.
2006-04-10 01:00:00+02:00;Partly Cloudy;rain;9.911;7.567;0.66;17.2109;149.0;15.826300000000002;0.0;1014.2;Mostly cloudy throughout the day.
2006-04-10 02:00:00+02:00;Mostly Cloudy;rain;11.183;11.183;0.8;10.8192;163.0;14.9569;0.0;1008.71;Mostly cloudy throughout the day.
2006-04-10 03:00:00+02:00;Partly Cloudy;rain;7.156;5.044;0.79;11.0768;180.0;15.826300000000002;0.0;1014.47;Mostly cloudy throughout the day.
2006-04-10 04:00:00+02:00;Partly Cloudy;rain;6.111;4.817;0.82;6.6493;161.0;15.826300000000002;0.0;1014.45;Mostly cloudy throughout the day.
2006-04-10 05:00:00+02:00;Partly Cloudy;rain;6.789;4.272;0.83;13.0088;135.0;14.9569;0.0;1014.49;Mostly cloudy throughout the day.
2006-04-10 06:00:00+02:00;Mostly Cloudy;rain;7.261;5.156;0.85;11.1734;141.0;6.1985;0.0;1014.52;Mostly cloudy throughout the day.
2006-04-10 07:00:00+02:00;Mostly Cloudy;rain;7.8;5.528;0.83;12.8156;150.0;8.05;0.0;1014.16;Mostly cloudy throughout the day.
2006-04-10 08:00:00+02:00;Mostly Cloudy;rain;9.872;7.933;0.78;13.7494;160.0;9.982;0.0;1014.24;Mostly cloudy throughout the day.
2006-04-10 09:00:00+02:00;Mostly Cloudy;rain;12.222;12.222;0.72;15.633100000000002;150.0;9.982;0.0;1014.25;Mostly cloudy throughout the day.
2006-04-10 10:00:00+02:00;Mostly Cloudy;rain;15.094;15.094;0.61;17.549000000000003;151.0;9.982;0.0;1013.96;Mostly cloudy throughout the day.
2006-04-10 11:00:00+02:00;Mostly Cloudy;rain;17.356;17.356;0.52;22.7815;169.0;9.982;0.0;1013.85;Mostly cloudy throughout the day.
2006-04-10 12:00:00+02:00;Mostly Cloudy;rain;19.006;19.006;0.46;23.8924;169.0;9.982;0.0;1013.04;Mostly cloudy throughout the day.
2006-04-10 13:00:00+02:00;Mostly Cloudy;rain;20.044;20.044;0.4;28.3682;170.0;9.982;0.0;1012.22;Mostly cloudy throughout the day.
2006-04-10 14:00:00+02:00;Mostly Cloudy;rain;21.05;21.05;0.4;26.9031;187.0;10.3523;0.0;1011.44;Mostly cloudy throughout the day.
